Title,Release_Date,Expired_Date,Activity_Code,Organization,Parent_Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Participation of NIGMS on PAR-10-235, Climate Change and Health: Assessing and Modeling Population Vulnerability to Climate Change (R21)
",8/2/2010,,,NIGMS,NIH,None,NOT-GM-10-107,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-10-107.html
Clarification of Application Page Limits for PAR-09-157: In vivo Cellular and Molecular Imaging Centers (ICMICs) (P50) ,7/29/2010,,,NCI,NIH,None,NOT-CA-10-033,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-033.html
Animal Welfare and Scientific Research: 1985 to 2010 Symposium plus IACUC 101 & AWIC Workshops,7/29/2010,,,NIH,NIH,None,NOT-OD-10-119,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-119.html
"Correction of Major Programmatic Priorities for RFA-HL-11-025 (R01); New Strategies for Growing 3D Tissues
",7/28/2010,,,NHLBI,NIH,None,NOT-HL-11-115,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-115.html
Request for Information (RFI): Ideas for improvements in a research network to advance the treatment science of critically ill patients with Acute Lung Injury ,7/28/2010,,,NHLBI,NIH,None,NOT-HL-11-113,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-113.html
"Pre-Application Workshop for NICHD Program Announcements for Vulvodynia - Systematic Epidemiologic, Etiologic or Therapeutic Studies ",7/28/2010,,,NICHD,NIH,None,NOT-HD-10-019,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-019.html
Request for Proposals (RFP): NIA Intervention Testing Program Solicits Proposals for Compounds to Test for Anti-Aging Activity in Mice ,7/28/2010,,,NIA,NIH,None,NOT-AG-10-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-10-008.html
"Change of Application Budget Limit for NIDDK PAR-08-182: Collaborative Interdisciplinary Team Science in Diabetes, Endocrinology and Metabolic Diseases (R24)
",7/28/2010,,,NIDDK,NIH,None,NOT-DK-10-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-011.html
Findings of Research Misconduct,7/27/2010,,,DHHS,DHHS,None,NOT-OD-10-118,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-118.html
"RESCINDED - Enhancing Peer Review: New NIH Policy on Post-Submission Application Materials
",7/22/2010,,,NIH,NIH,None,NOT-OD-10-115,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-115.html
NIA Announces Research Model Sharing Website,7/21/2010,,,NIA,NIH,None,NOT-AG-10-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-10-009.html
"Notice of Change in Peer Review, Council Review and Anticipated Start Dates for PAR-10-090: NIDDK Central Repositories Non-renewable Sample Access (X01) ",7/21/2010,,,NIDDK,NIH,None,NOT-DK-10-010,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-010.html
"Biosafety in Microbiological and Biomedical Laboratories (BMBL): 5th Edition
",7/21/2010,,,NIH,NIH,None,NOT-OD-10-117,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-117.html
Request for Information (RFI): Tools and Resources for Neuroscience Research ,7/21/2010,,,NINDS,NIH,None,NOT-NS-10-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-10-023.html
"Notice of Extension of Comment Period on the Proposed Rule applicable to Regulations on the Responsibility of Applicants for Promoting Objectivity in Research for which Public Health Service Funding is Sought and Responsible Prospective Contractors
",7/20/2010,,,NIH,NIH,None,NOT-OD-10-113,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-113.html
Amendment: RFA-AI-10-022 U.S.-India Bilateral Collaborative Research Partnerships (CRP) on the Prevention of HIV/AIDS and Co-morbidities (R21) ,7/19/2010,,,NIAID,NIH,None,NOT-AI-10-039,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-039.html
Announcing Changes in the Eligibility Criteria for Use of the NIA Aged Rodent Colony ,7/19/2010,,,NIA,NIH,None,NOT-AG-10-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-10-007.html
"Correction for RFA-HL-10-024, Ancillary Studies in Clinical Trials (R01)
",7/19/2010,,,NHLBI,NIH,None,NOT-HL-11-108,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-108.html
Notice of Clarification in Application Materials for PA-09-075 (Collaborative R34) and PAR-09-153 (Collaborative R01) ,7/19/2010,,,NIMH,NIH,None,NOT-MH-10-027,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-027.html
"IACUC 101 and 201 PLUS Workshops: August 18-19, 2010 in San Francisco, CA ",7/18/2010,,,NIH,NIH,None,NOT-OD-10-116,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-116.html
NIMH Announces Availability of Funds for Competitive Revision Applications for a Repository Supporting Stem Cell Research Relevant to Mental Disorders (U24) ,7/15/2010,,,NIMH,NIH,None,NOT-MH-10-024,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-024.html
Notice of Intent to Publish a Request for Applications on Lung Repair and Regeneration Consortium (U01) ,7/15/2010,,,NHLBI,NIH,None,NOT-HL-11-112,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-112.html
"Notice of Discontinuation of National Institute of Environmental Health Sciences Participation in the Academic Career Award (Parent K07)
",7/15/2010,,,NIEHS,NIH,None,NOT-ES-10-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-10-011.html
"Clarification of Nurse Coordinator Position for RFA-HD-10-002, Pelvic Floor Disorders Clinical Sites (U10) ",7/15/2010,,,NICHD,NIH,None,NOT-HD-10-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-018.html
"Notice of Intent to Participate in the Joint DMS/NIGMS Initiative to Support Research at the Interface of the Biological and Mathematical Sciences
",7/14/2010,,,NIGMS,NIH,None,NOT-GM-10-105,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-10-105.html
"Pre-application Meeting for Request for Applications (RFA-CA-10-016) for the Clinical Proteomic Technologies for Cancer Initiative (CPTC): Proteome Characterization Centers
",7/14/2010,,,NCI,NIH,None,NOT-CA-10-031,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-031.html
"Participation of NIGMS on PAR-10-146 (R21), Social Network Analysis and Health ",7/14/2010,,,NIGMS,NIH,None,NOT-GM-10-106,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-GM-10-106.html
Notice of Budget and Project Period Correction to Development and Application of PET and SPECT Imaging Ligands as Biomarkers for Drug Discovery and for Pathophysiological Studies of CNS Disorders (R21) (PA-10-023) ,7/14/2010,,,NIMH,NIH,None,NOT-MH-10-028,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-028.html
"Request for Information (RFI):  Identification of Clinical Trial Design, Monitoring, and Analysis Experts with an Interest in Multi-Center Clinical Studies in Hemoglobinopathies",7/14/2010,,,NHLBI,NIH,None,NOT-HL-11-111,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-111.html
"Notice of Intent to Publish a Request for Applications for Training in Computational Neuroscience: From Biology to Model and Back Again (T90)
",7/14/2010,,,NIDA,NIH,None,NOT-DA-10-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-10-023.html
Notice of Intent to Publish a Request for Applications for Training in Neuroimaging: Integrating First Principles and Applications (T90) ,7/14/2010,,,NIDA,NIH,None,NOT-DA-10-024,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-10-024.html
"Notice of Intent to Publish a Request for Applications for Tumor Microenvironment Network (TMEN)
",7/14/2010,,,NCI,NIH,None,NOT-CA-10-032,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-032.html
Update on Applicability of the Shelf Life Extension Program (SLEP),7/13/2010,,,NIH,NIH,None,NOT-OD-10-114,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-114.html
"NIH Offers SBIR Niche Assessment Program to Phase I Awardees
",7/12/2010,,,NIH,NIH,None,NOT-OD-10-112,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-112.html
"Notice of Intent to Publish a Request for Applications for NIAAA Collaborative Centers for HIV/AIDS and Alcohol Outcomes Research (U01, U24) ",7/12/2010,,,NIAAA,NIH,None,NOT-AA-10-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AA-10-003.html
Notice of Expiration of Biomedical Technology Research Resource (PAR-08-259) and Reissuance of Biomedical Technology Research Center (P41)(PAR-10-225) ,7/11/2010,,,NCRR,NIH,None,NOT-RR-10-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RR-10-011.html
"Clarification of Additional Research Objectives for NICHD PAR-08-138, Genetic Screens to Enhance Zebrafish Research (R01) ",7/11/2010,,,NICHD,NIH,None,NOT-HD-10-015,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-015.html
"Notice of Intent to Publish Funding Opportunity Announcement (FOA) for Support of Cancer Epidemiology Cohorts
",7/11/2010,,,NCI,NIH,None,NOT-CA-10-029,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-029.html
"Notice of Availability of Administrative Supplements for T32 Global Health Physician Scientist Postdoctoral Training Slots
",7/8/2010,,,NIAID,NIH,None,NOT-AI-10-028,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-028.html
"Administrative Supplements to Expand NCI-supported Community Outreach Capacity through Community Health Educators (CHE) of the National Outreach Network
",7/8/2010,,,NCI,NIH,None,NOT-CA-10-030,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-030.html
"Notice to Modify the Eligibility Information for PAR-10-173, NIDA Research Education Program for Clinical Researchers and Clinicians (R25) ",7/8/2010,,,NIDA,NIH,None,NOT-DA-10-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-10-022.html
Extramural Clinical Research Loan Repayment Program for Individuals from Disadvantaged Backgrounds (LRP-IDB): Program Specific Information,7/7/2010,,,NIH,NIH,"NCMHD, LRP",NOT-OD-10-110,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-110.html
Extramural Loan Repayment Program for Health Disparities Research (LRP-HDR): Program Specific Information,7/7/2010,,,NIH,NIH,"NCMHD, LRP",NOT-OD-10-108,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-108.html
Extramural Loan Repayment Program for Contraception and Infertility Researchers (LRP-CIR): Program Specific Information ,7/7/2010,,,NIH,NIH,"NICHD, LRP",NOT-OD-10-109,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-109.html
Extramural Pediatric Research Loan Repayment Program (LRP-PR): Program Specific Information,7/7/2010,,,NIH,NIH,None,NOT-OD-10-107,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-107.html
Extramural Loan Repayment Program for Clinical Researchers (LRP-CR): Program Specific Information ,7/7/2010,,,NIH,NIH,None,NOT-OD-10-106,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-106.html
NIH Extramural Loan Repayment Programs (LRP),7/7/2010,,,NIH,NIH,None,NOT-OD-10-105,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-105.html
Request for Information (RFI): National Cancer Institute (NCI) Chemical Repository for Chemical Carcinogenesis Research ,7/6/2010,,,NCI,NIH,None,NOT-CA-10-028,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-028.html
Modification: This Notice modifies PAR-10-153 - NIBIB Biomedical Technology Resource Centers (P41),7/1/2010,,,NIBIB,NIH,None,NOT-EB-10-003,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-10-003.html
Clarification of Research Objectives for NIDDK PAR-08-139: Enhancing Zebrafish Research with Research Tools and Techniques (R01) ,6/30/2010,,,NIDDK,NIH,None,NOT-DK-10-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-009.html
Extension of Expiration Date for RFA-AI-10-018: National Biocontainment Laboratories (NBLs) Operations Support Limited Competition (UC7),6/30/2010,,,NIAID,NIH,None,NOT-AI-10-037,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-037.html
"2010 BioMed-ISS Pre-Application Meeting Information - Biomedical Research on the International Space Station (ISS) (PAR-09-120)
",6/30/2010,,,NIAMS,NIH,None,NOT-AR-10-041,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-10-041.html
Amendment: PAR-09-103: Centers for AIDS Research and Developmental Centers for AIDS Research (P30),6/27/2010,,,NIAID,NIH,"FIC, NCCIH, NCI, NHLBI, NIA, NICHD, NIDA, NIMH",NOT-AI-10-033,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-033.html
"Extension of Expiration Date and Additional Receipt Dates for RFA-AI-10-014: Ancillary Studies in Immunomodulation Clinical Trials (R01)
",6/27/2010,,,NIAID,NIH,"NIAMS, NIDDK, NINDS",NOT-AI-10-035,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-035.html
"Additional Research Objectives for NIDDK PAR-08-181: Seeding Collaborative Interdisciplinary Team Science in Diabetes, Endocrinology and Metabolic Diseases (R24) ",6/24/2010,,,NIDDK,NIH,None,NOT-DK-10-007,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-007.html
"Additional Research Objectives for NIDDK PAR-08-182: Collaborative Interdisciplinary Team Science in Diabetes, Endocrinology and Metabolic Diseases (R24) ",6/24/2010,,,NIDDK,NIH,None,NOT-DK-10-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-008.html
Request for Information (RFI): Clinical and Translational Research Infrastructure in Institutional Development Award (IDeA) Program Institutions ,6/24/2010,,,NCRR,NIH,None,NOT-RR-10-010,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RR-10-010.html
"Request for Information: Scientific and Collaborative Considerations Associated with the NINDS Epilepsy Centers without Walls Program
",6/24/2010,,,NINDS,NIH,None,NOT-NS-10-020,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-10-020.html
Clarification: PAR-09-134 - HIV Vaccine Research and Design (HIVRAD) ,6/24/2010,,,NIAID,NIH,None,NOT-AI-10-036,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-036.html
Notice of Intent to Publish a Series of Request for Applications for the NINDS Epilepsy Centers without Walls Program (U54) ,6/24/2010,,,NINDS,NIH,None,NOT-NS-10-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-10-022.html
Notice of Intent to Publish a Request for Applications for Knockout Mouse Production and Cryopreservation (U54) ,6/23/2010,,,Roadmap,NIH,None,NOT-RM-10-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-10-009.html
Notice to Highlight Current NIH Funding Opportunities that Promote Research on the Human Health Effects of Climate Change,6/23/2010,,,FIC,NIH,"NCI, NCMHD, NIAMS, NIBIB, NICHD, NIEHS, NIGMS, NLM",NOT-TW-10-008,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-10-008.html
Notice of Intent to Publish a Request for Applications for Knockout Mouse Phenotyping (U54),6/23/2010,,,Roadmap,NIH,None,NOT-RM-10-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-10-011.html
Notice of Intent to Publish a Request for Applications for a Knockout Mouse Phenotyping Project Database (U54) ,6/23/2010,,,Roadmap,NIH,None,NOT-RM-10-010,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RM-10-010.html
"Amendment to Notice NOT-MH-10-021  NIMH Announces Availability of Funds for Competitive Revision Applications for Targeted Research on Mental Health Disparities
",6/23/2010,,,NIMH,NIH,None,NOT-MH-10-026,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-026.html
"Correction on the First Submission Date for Resubmission and Revision Applications for the Alzheimers Disease Drug Development Program (U01) (PA-10-205)
",6/21/2010,,,NIA,NIH,None,NOT-AG-10-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AG-10-006.html
"Extension of Receipt Date for PAR-09-135, Replication, Fine-Mapping and Sequencing: Follow-Up on Genome-Wide Association Studies for Arthritis and Musculoskeletal and Skin Diseases (R01) ",6/21/2010,,,NIAMS,NIH,None,NOT-AR-10-039,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-10-039.html
"Special Emphasis Notice (SEN): AHRQ Announces Interest in Grants focused on Health Risk Assessment in Primary Care Settings
 ",6/21/2010,,,AHRQ,AHRQ,None,NOT-HS-10-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-10-018.html
Notice of Intent to Publish a Funding Opportunity Announcement for the Centers Program for Research on HIV/AIDS and Mental Health (P30) ,6/17/2010,,,NIMH,NIH,None,NOT-MH-10-022,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-022.html
Notice of Intent to Publish a Request for Applications for Collaborative Hubs for International Research in Mental Health in Low- and Middle-Income Countries (U19) ,6/17/2010,,,NIMH,NIH,None,NOT-MH-10-020,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-020.html
Amendment: PA-09-119: Phased Innovation Award Program for AIDS Vaccine Research (R21/R33) ,6/17/2010,,,NIAID,NIH,None,NOT-AI-10-034,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AI-10-034.html
"Increased Budget Limit for Applications Submitted in Response to PAR-09-135, Replication, Fine-Mapping and Sequencing: Follow-Up on Genome-Wide Association Studies for Arthritis and Musculoskeletal and Skin Diseases (R01) ",6/17/2010,,,NIAMS,NIH,None,NOT-AR-10-040,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-10-040.html
Request for Information (RFI): Updating the Interagency Autism Coordinating Committee Strategic Plan for Autism Spectrum Disorder (ASD) Research,6/17/2010,,,NIMH,NIH,None,NOT-MH-10-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-025.html
NIMH Announces Availability of Funds for Competitive Revision Applications for Targeted Research on Mental Health Disparities,6/16/2010,,,NIMH,NIH,None,NOT-MH-10-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-021.html
Competitive Revisions for Community Outreach and Education Cores for Environmental Health Sciences Core Center Grants (P30) ,6/15/2010,,,NIEHS,NIH,None,NOT-ES-10-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-ES-10-009.html
Notice of Intent to Publish a Request for Applications for NIDDK Centers for Diabetes Translation Research (P30),6/15/2010,,,NIDDK,NIH,None,NOT-DK-10-006,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-006.html
"Invitation to Comment on Agency for Healthcare Research and Quality (AHRQ) Proposed Data and Safety Monitoring Policy
",6/15/2010,,,AHRQ,AHRQ,None,NOT-HS-10-019,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-10-019.html
RESCINDED - Enhancing Peer Review: Advance Notice on Post-Submission Application Materials for NIH Training and Related Applications ,6/10/2010,,,NIH,NIH,None,NOT-OD-10-104,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-104.html
"Change in Patient Recruitment Requirements in RFA-HL-11-018, Clinical Centers for the Severe Asthma Research Program
",6/10/2010,,,NHLBI,NIH,None,NOT-HL-11-110,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-110.html
"Notice of Availability of NINDS Administrative Supplements for Promoting Optogenetics Applications in Basic and Translational Neuroscience Research
",6/10/2010,,,NINDS,NIH,None,NOT-NS-10-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-NS-10-021.html
"Participation of NCRR on PAR-10-145 (R01) and PAR-10-146 (R21), Social Network Analysis and Health",6/10/2010,,,NCRR,NIH,None,NOT-RR-10-009,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-RR-10-009.html
"Change in Patient Recruitment Requirements in RFA-HL-11-030, Clinical Coordinating Center for the Severe Asthma Research Program ",6/10/2010,,,NHLBI,NIH,None,NOT-HL-11-109,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-109.html
"Corrections Notice and Frequently Asked Questions for AHRQ CHIPRA Pediatric Healthcare Quality Measures Program Centers of Excellence FOA: RFA-HS-11-001
",6/9/2010,,,AHRQ,AHRQ,None,NOT-HS-10-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-10-017.html
Additional Submission Date for NIDDK PAR-10-197: NIDDK Multi-Center Clinical Study Implementation Planning Grants (U34) ,6/9/2010,,,NIDDK,NIH,None,NOT-DK-10-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-005.html
My NCBI Tool to Replace eRA Commons for Bibliography Management ,6/9/2010,,,NIH,NIH,None,NOT-OD-10-103,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-103.html
Notice of Availability of Administrative Supplements for Research on Collaborative Projects with Indian Investigators on Low-Cost Medical Devices,6/8/2010,,,NIBIB,NIH,None,NOT-EB-10-002,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EB-10-002.html
Request for Information (RFI): Sleep Disorders Research Plan ,6/8/2010,,,NHLBI,NIH,"NCCIH, NCI, NCRR, NIA, NIAAA, NICHD, NIDA, NIDDK, NIMH, NINDS, NINR, OBSSR, ORWH",NOT-HL-11-107,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HL-11-107.html
Update of the Guide for the Care and Use of Laboratory Animals,6/3/2010,,,NIH,NIH,None,NOT-OD-10-102,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-102.html
Administrative Supplements to Increase Public Awareness of Pediatric Cancers and Available Treatments and Research,6/3/2010,,,NCI,NIH,None,NOT-CA-10-026,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-026.html
"Notice of Intent to Publish a Request for Applications for Ancillary Studies to Large Ongoing Clinical Projects (R01)
",6/2/2010,,,NIAMS,NIH,None,NOT-AR-10-037,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-10-037.html
Notice of Intent to Publish a Request for Applications for Ancillary Studies to Large Ongoing Clinical Projects (R21) ,6/2/2010,,,NIAMS,NIH,None,NOT-AR-10-038,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-AR-10-038.html
Pre-application Teleconference for RFA-MH-10-050 - Seeding National Mentoring Networks to Enhance Diversity of the Mental Health Research Workforce (U24) ,5/31/2010,,,NIMH,NIH,None,NOT-MH-10-023,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-023.html
Request for Information (RFI) on the NIH Plan to Develop the Genetic Testing Registry,5/27/2010,,,NIH,NIH,None,NOT-OD-10-101,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-101.html
"Clarification of Language in the Research Objectives Section and Deletion of Revisions for RFA-DK-10-502: Limited Competition for the Continuation of the NIDDK Gastroparesis Consortium (U01)
",5/26/2010,,,NIDDK,NIH,None,NOT-DK-10-004,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DK-10-004.html
Administrative Supplements to Advance Special Translational Research Acceleration Projects on Immune Response Modifiers Currently Funded by the National Cancer Institute (NCI) ,5/26/2010,,,NCI,NIH,None,NOT-CA-10-025,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-CA-10-025.html
Request for Information (RFI): Defining an Agenda to Address Research Capacity Building ,5/25/2010,,,NICHD,NIH,None,NOT-HD-10-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-016.html
American Reinvestment and Recovery Act (ARRA): AHRQ Grant Policy Notice Removing Expanded Authorities and No Cost Extensions for AHRQ ARRA Grants ,5/25/2010,,,AHRQ,AHRQ,RA,NOT-HS-10-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HS-10-016.html
"Clarification of Requirements for Clinical Trials Populations and Data Sharing Plans for RFA-HD-10-008, Maternal Fetal Medicine Units Network (U10)
",5/25/2010,,,NICHD,NIH,None,NOT-HD-10-011,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-011.html
Request for Information (RFI): Establishment of a Database on Excipients Used In Pediatric Formulations ,5/25/2010,,,NICHD,NIH,None,NOT-HD-10-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-HD-10-017.html
Notice of Discontinuation of National Eye Institute (NEI) Participation in the Ruth L. Kirschstein National Research Service Awards (NRSA) for Individual Senior Fellows (F33),5/25/2010,,,NEI,NIH,None,NOT-EY-10-005,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-EY-10-005.html
"Notice of Intent to Publish a Funding Opportunity Announcement for the Novel NeuroAIDS Therapeutics: Integrated Preclinical/Clinical Program award (P01)
",5/23/2010,,,NIMH,NIH,None,NOT-MH-10-017,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-017.html
Notice of Intent to Publish a New Funding Opportunity that will Reconfigure and Consolidate The International Training and Research Program in Population & Health (POP),5/20/2010,,,FIC,NIH,None,NOT-TW-10-442,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-10-442.html
Notice of Intent to Publish a Request for Applications for the Viral and Host Genetic Factors Regulating HIV-Associated CNS Disease award (R01),5/20/2010,,,NIMH,NIH,None,NOT-MH-10-018,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-018.html
Notice of Intent to Publish a Request for Applications for Unbiased In Vitro Analysis of Neurobiological Function (R01),5/20/2010,,,NIMH,NIH,None,NOT-MH-10-016,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-016.html
Notice of Intent to Publish a Request for Applications for Epigenomic Modifications in Neurodevelopment (R01),5/20/2010,,,NIMH,NIH,None,NOT-MH-10-014,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-014.html
"Notice of Intent to Publish a New Funding Opportunity that will Reconfigure and Consolidate The Millennium Promise Awards: Non-communicable Chronic Diseases Research Training Program (NCoD)
",5/20/2010,,,FIC,NIH,None,NOT-TW-10-457,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-10-457.html
"Notice of Intent to Publish a New Funding Opportunity that will Reconfigure and Consolidate The International Clinical, Operational, and Health Services Research and Training Award for Non-Communicable Diseases and Disorders (ICOHRTA-1)
",5/20/2010,,,FIC,NIH,None,NOT-TW-10-456,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-TW-10-456.html
Notice of Intent to Publish a Request for Applications for Epigenomic Modifications in Neurodevelopment (R21) ,5/20/2010,,,NIMH,NIH,None,NOT-MH-10-015,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-015.html
"Notice of Intent to Publish a Request for Applications for the Viral and Host Genetic Factors Regulating HIV-Associated CNS Disease award (R21)
",5/20/2010,,,NIMH,NIH,None,NOT-MH-10-019,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-MH-10-019.html
"RESCINDED - Enhancing Peer Review Advance Notice: New NIH Policy on Post-Submission Application Materials
",5/20/2010,,,NIH,NIH,None,NOT-OD-10-091,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-091.html
NIH Requests Comments on the Proposed Rule applicable to Regulations on the Responsibility of Applicants for Promoting Objectivity in Research for which Public Health Service Funding is Sought and Responsible Prospective Contractors ,5/20/2010,,,NIH,NIH,None,NOT-OD-10-099,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-OD-10-099.html
Notice of Expiration Regarding the National Institute on Drug Abuses Center of Excellence Grant Program (P60) ,5/20/2010,,,NIDA,NIH,None,NOT-DA-10-021,NOT,,https://grants.nih.gov/grants/guide/notice-files/NOT-DA-10-021.html
